month,month_name,reading_count,mean_temp_c,min_temp_c,max_temp_c
1,January,85191,18.444,15.080,21.929
2,February,77420,19.740,16.039,23.510
3,March,84996,21.604,17.615,25.659
4,April,82164,23.628,19.705,27.493
5,May,84411,25.230,21.546,28.703
6,June,82260,25.937,22.762,28.992
7,July,85014,25.589,22.118,28.922
8,August,84685,24.248,20.330,28.024
9,September,82207,22.315,18.364,26.288
10,October,85029,20.298,16.400,24.257
11,November,82093,18.732,15.253,22.351
12,December,84490,18.059,15.010,21.201
